GeoUID_csd,Type_csd,Region Name_csd,Area (sq km)_csd,Population_csd,Dwellings_csd,Households_csd,CD_UID_csd,PR_UID_csd,CMA_UID_csd,total_occupied_private_dwellings_csd,single_detached_houses_csd,apartment_in_building_plus_5_csd,semi_detached_house_csd,row_house_csd,apartment_in_duplex_csd,apartment_in_building_less_5_csd,households_more_than_30_csd,median_shelter_costs_owned_csd,median_shelter_costs_rented_csd,single_detached_houses_pct_csd,semi_detached_house_pct_csd,row_house_pct_csd,apartment_in_duplex_pct_csd,apartment_in_building_less_5_pct_csd,apartment_in_building_plus_5_pct_csd,pop_density_csd
3511030,CSD,Stone Mills (TP),693.7087,7826,3436,3071,3511,35,,3070,2940,0,25,5,15,70,310,1120,830,0.9576547231270358,0.008143322475570033,0.0016286644951140066,0.004885993485342019,0.02280130293159609,0,11.281392319283295
3511035,CSD,Addington Highlands (TP),1293.9905,2534,2052,1122,3511,35,,1120,1045,0,15,15,5,20,210,695,800,0.9330357142857143,0.013392857142857142,0.013392857142857142,0.004464285714285714,0.017857142857142856,0,1.9582833104261583
3512001,CSD,Tyendinaga (TP),312.422,4538,1730,1650,3512,35,35522,1650,1600,0,10,0,0,35,170,1200,890,0.9696969696969697,0.006060606060606061,0,0,0.021212121212121213,0,14.525225496283872
3512002,CSD,Deseronto (T),2.5191,1747,803,723,3512,35,,725,535,0,40,30,35,85,145,1120,840,0.7379310344827587,0.05517241379310345,0.041379310344827586,0.04827586206896552,0.11724137931034483,0,693.5016474137589
3512004,CSD,Tyendinaga Mohawk Territory (IRI),72.0182,2535,1170,1031,3512,35,,1030,920,0,5,35,15,45,0,NA,NA,0.8932038834951457,0.0048543689320388345,0.03398058252427184,0.014563106796116505,0.043689320388349516,0,35.19943569819851
3512005,CSD,Belleville (CY),247.1474,55071,24582,23536,3512,35,35522,23535,13980,2125,705,1800,675,4135,5235,1130,1070,0.5940089228808159,0.02995538559592097,0.07648183556405354,0.028680688336520075,0.17569577225408967,0.09029105587422986,222.82653995146217
3512015,CSD,Quinte West (CY),495.4493,46560,19888,19056,3512,35,35522,19055,14505,510,855,425,315,2025,2820,1060,1000,0.7612175282078195,0.04487011283127788,0.022303857255313565,0.016531094200997114,0.10627131986355287,0.02676462870637628,93.9753068578359
3512020,CSD,Stirling-Rawdon (TP),282.4797,5015,2074,1971,3512,35,35522,1970,1715,0,30,20,35,160,295,1100,940,0.8705583756345178,0.015228426395939087,0.01015228426395939,0.017766497461928935,0.08121827411167512,0,17.75348812675743
3512026,CSD,Centre Hastings (MU),222.791,4801,2180,1939,3512,35,,1940,1625,0,65,45,35,170,355,1100,940,0.8376288659793815,0.03350515463917526,0.023195876288659795,0.01804123711340206,0.08762886597938144,0,21.549344452872873
3512030,CSD,Tweed (MU),918.6062,6067,3042,2591,3512,35,,2590,2295,0,60,25,20,170,415,785,930,0.8861003861003861,0.023166023166023165,0.009652509652509652,0.007722007722007722,0.06563706563706563,0,6.604571142672453
3512036,CSD,Madoc (TP),274.5829,2233,934,868,3512,35,,865,850,0,10,0,5,0,130,860,1210,0.9826589595375722,0.011560693641618497,0,0.005780346820809248,0,0,8.13233453357802
3512046,CSD,Marmora and Lake (MU),538.2434,4267,2578,1887,3512,35,,1885,1640,0,70,15,10,135,360,840,920,0.870026525198939,0.03713527851458886,0.007957559681697613,0.005305039787798408,0.07161803713527852,0,7.927640171714136
3512048,CSD,Tudor and Cashel (TP),433.3073,740,758,352,3512,35,,355,330,0,5,0,5,0,70,596,NA,0.9295774647887324,0.014084507042253521,0,0.014084507042253521,0,0,1.707794906755552
3512051,CSD,Limerick (TP),201.0358,436,533,206,3512,35,,205,205,0,0,0,0,0,25,624,NA,1,0,0,0,0,0,2.1687679507828954
3512054,CSD,Wollaston (TP),215.8709,721,757,352,3512,35,,350,330,0,0,0,5,0,80,820,NA,0.9428571428571428,0,0,0.014285714285714285,0,0,3.3399592071001694
3512058,CSD,Faraday (TP),217.4359,1612,1290,755,3512,35,,755,700,0,5,0,0,5,115,840,900,0.9271523178807947,0.006622516556291391,0,0,0.006622516556291391,0,7.413679157857557
3512061,CSD,Bancroft (T),227.5367,4065,2007,1801,3512,35,,1800,1295,0,20,75,45,340,385,920,860,0.7194444444444444,0.011111111111111112,0.041666666666666664,0.025,0.18888888888888888,0,17.86524986958148
3512065,CSD,Carlow/Mayo (TP),385.3241,953,663,416,3512,35,,415,405,0,0,0,0,5,45,670,775,0.9759036144578314,0,0,0,0.012048192771084338,0,2.4732426546899093
3512076,CSD,Hastings Highlands (MU),966.5818,4385,3529,2007,3512,35,,2005,1950,5,0,0,5,15,295,750,850,0.972568578553616,0,0,0.0024937655860349127,0.007481296758104738,0.0024937655860349127,4.536605179199525
3513020,CSD,Prince Edward County (CY),1052.6069,25704,13557,11332,3513,35,,11335,9750,15,240,330,60,775,1845,880,1080,0.8601676224084693,0.0211733568592854,0.029113365681517425,0.00529333921482135,0.06837229819144243,0.0013233348037053375,24.41937251218855
3514004,CSD,Brighton (MU),223.2437,12108,5392,5014,3514,35,,5015,4415,25,95,105,90,215,735,840,1040,0.8803589232303091,0.018943170488534396,0.020937188434695914,0.01794616151545364,0.04287138584247258,0.004985044865403789,54.23669290555568
3514014,CSD,Cramahe (TP),202.2244,6509,2772,2603,3514,35,,2600,2355,0,40,10,25,155,420,1210,1010,0.9057692307692308,0.015384615384615385,0.0038461538461538464,0.009615384615384616,0.05961538461538462,0,32.18701600795947
3514019,CSD,Hamilton (TP),256.0285,11059,4685,4281,3514,35,,4280,4050,0,25,15,30,35,515,1180,1000,0.9462616822429907,0.005841121495327103,0.0035046728971962616,0.007009345794392523,0.008177570093457943,0,43.19440999732451
3514020,CSD,Port Hope (MU),278.8006,17294,7607,7318,3514,35,35528,7315,5285,445,275,425,95,770,1505,1190,1170,0.722488038277512,0.03759398496240601,0.05809979494190021,0.012987012987012988,0.10526315789473684,0.060833902939166094,62.02999563128631
3514021,CSD,Cobourg (T),22.4082,20519,9520,9134,3514,35,35527,9135,5255,360,405,1120,170,1785,2075,1010,1220,0.5752599890530925,0.04433497536945813,0.12260536398467432,0.018609742747673783,0.19540229885057472,0.03940886699507389,915.6915771904927
3514024,CSD,Alnwick/Haldimand (TP),398.25,7473,3323,2823,3514,35,,2825,2720,0,15,5,10,60,405,1260,1000,0.9628318584070796,0.005309734513274336,0.0017699115044247787,0.0035398230088495575,0.021238938053097345,0,18.764595103578156
3514027,CSD,Alderville First Nation (IRI),12.5932,542,282,252,3514,35,,250,230,0,5,5,0,10,0,NA,NA,0.92,0.02,0.02,0,0.04,0,43.039100466918654
