DA2021,total_occupied_private_dwellings_da,single_detached_houses_da,apartment_in_building_plus_5_da,semi_detached_house_da,row_house_da,apartment_in_duplex_da,apartment_in_building_less_5_da,households_more_than_30_da,median_shelter_costs_owned_da,median_shelter_costs_rented_da,single_detached_houses_pct_da,semi_detached_house_pct_da,row_house_pct_da,apartment_in_duplex_pct_da,apartment_in_building_less_5_pct_da,apartment_in_building_plus_5_pct_da,pop_density_da
35010248,280,0,145,5,25,0,110,60,910,572,0,0.017857142857142856,0.08928571428571429,0,0.39285714285714285,0.5178571428571429,12160.148975791435
35010249,250,95,40,20,10,25,60,70,920,1050,0.38,0.08,0.04,0.1,0.24,0.16,2154.5454545454545
35010250,150,90,0,15,10,5,0,0,930,NA,0.6,0.1,0.06666666666666667,0.03333333333333333,0,0,50.40949079508887
35010251,135,95,0,35,0,0,0,0,710,NA,0.7037037037037037,0.25925925925925924,0,0,0,0,61.03970346875173
35010252,165,95,0,30,5,20,20,30,1090,870,0.5757575757575758,0.18181818181818182,0.030303030303030304,0.12121212121212122,0.12121212121212122,0,281.90743338008417
35010253,315,125,0,115,30,10,35,35,990,1250,0.3968253968253968,0.36507936507936506,0.09523809523809523,0.031746031746031744,0.1111111111111111,0,1097.646893053403
35010254,145,110,0,25,0,15,0,20,1010,NA,0.7586206896551724,0.1724137931034483,0,0.10344827586206896,0,0,2089.5522388059703
35010255,120,85,0,20,5,0,5,20,960,1350,0.7083333333333334,0.16666666666666666,0.041666666666666664,0,0.041666666666666664,0,1606.4480266814896
35010256,150,115,0,5,15,10,5,0,645,1000,0.7666666666666667,0.03333333333333333,0.1,0.06666666666666667,0.03333333333333333,0,2471.264367816092
35010257,255,180,0,10,0,20,50,60,1330,1070,0.7058823529411765,0.0392156862745098,0,0.0784313725490196,0.19607843137254902,0,55.083125443851635
35010258,205,110,0,85,0,0,15,35,755,NA,0.5365853658536586,0.4146341463414634,0,0,0.07317073170731707,0,1134.5966958211854
35010259,125,105,0,10,5,0,0,0,715,NA,0.84,0.08,0.04,0,0,0,1247.731397459165
35010260,280,155,0,30,65,5,25,65,1330,850,0.5535714285714286,0.10714285714285714,0.23214285714285715,0.017857142857142856,0.08928571428571429,0,92.19397824963904
35010261,210,145,0,20,0,25,10,30,970,940,0.6904761904761905,0.09523809523809523,0,0.11904761904761904,0.047619047619047616,0,2421.7462932454696
35010262,145,130,0,5,5,5,5,20,725,NA,0.896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0,155.50713153724246
35010263,135,130,0,0,0,5,0,25,750,NA,0.9629629629629629,0,0,0.037037037037037035,0,0,2680.2374893977944
35010264,240,140,0,20,0,15,65,50,760,920,0.5833333333333334,0.08333333333333333,0,0.0625,0.2708333333333333,0,3064.4190246839253
35010265,140,135,0,0,0,0,0,0,780,NA,0.9642857142857143,0,0,0,0,0,3022.861981371719
35010266,300,100,0,40,0,5,155,100,1180,1090,0.3333333333333333,0.13333333333333333,0,0.016666666666666666,0.5166666666666667,0,3436.46408839779
35010267,170,130,0,0,0,25,20,25,920,1100,0.7647058823529411,0,0,0.14705882352941177,0.11764705882352941,0,2776.280323450135
35010268,235,55,0,5,0,50,130,60,1250,840,0.23404255319148937,0.02127659574468085,0,0.2127659574468085,0.5531914893617021,0,5684.21052631579
35010269,180,130,0,10,0,25,15,40,920,960,0.7222222222222222,0.05555555555555555,0,0.1388888888888889,0.08333333333333333,0,2447.183098591549
35010270,220,35,0,35,0,45,105,110,775,785,0.1590909090909091,0.1590909090909091,0,0.20454545454545456,0.4772727272727273,0,6395.534290271132
35010271,140,40,0,35,0,35,30,30,NA,800,0.2857142857142857,0.25,0,0.25,0.21428571428571427,0,6500
35010272,215,60,0,10,0,70,80,85,820,810,0.27906976744186046,0.046511627906976744,0,0.32558139534883723,0.37209302325581395,0,6589.506172839507
35010273,275,250,0,5,5,5,5,30,1060,1260,0.9090909090909091,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0,25.549134274469605
35010274,200,195,0,0,5,0,0,0,940,NA,0.975,0,0.025,0,0,0,787.5307629204265
35010275,345,335,0,0,10,5,0,45,1090,NA,0.9710144927536232,0,0.028985507246376812,0.014492753623188406,0,0,62.032085561497325
35010276,225,225,0,0,0,5,0,20,1270,NA,1,0,0,0.022222222222222223,0,0,73.9462346627699
35010277,215,210,0,0,0,0,0,15,960,NA,0.9767441860465116,0,0,0,0,0,24.141446932253068
35010278,170,170,0,0,0,0,0,20,725,NA,1,0,0,0,0,0,23.30563597814474
35010279,160,155,0,5,0,0,0,0,900,NA,0.96875,0.03125,0,0,0,0,14.829987409193858
35010280,155,150,0,0,0,0,0,20,1100,NA,0.967741935483871,0,0,0,0,0,14.328135058246984
35010281,190,180,0,5,0,0,0,25,800,NA,0.9473684210526315,0.02631578947368421,0,0,0,0,10.598220769789398
35010282,155,155,0,0,0,10,0,20,1030,NA,1,0,0,0.06451612903225806,0,0,16.856578932001415
35010283,170,165,0,0,0,5,0,25,1140,NA,0.9705882352941176,0,0,0.029411764705882353,0,0,16.30610031366341
35010284,170,160,0,5,0,0,0,25,735,NA,0.9411764705882353,0.029411764705882353,0,0,0,0,9.696346701622465
35010285,255,175,0,25,0,0,50,30,1050,730,0.6862745098039216,0.09803921568627451,0,0,0.19607843137254902,0,84.96263691268297
35010286,195,190,0,0,0,0,0,0,1400,NA,0.9743589743589743,0,0,0,0,0,8.293945256695974
35010287,190,180,0,5,5,0,0,25,1070,NA,0.9473684210526315,0.02631578947368421,0.02631578947368421,0,0,0,10.834072835985491
35010288,230,185,0,10,10,5,15,30,1110,950,0.8043478260869565,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0,26.014662809947424
35010289,300,225,0,30,10,0,30,35,1480,1300,0.75,0.1,0.03333333333333333,0,0.1,0,59.99904383993881
35010290,170,165,0,5,0,0,0,15,1270,NA,0.9705882352941176,0.029411764705882353,0,0,0,0,14.262637161611183
35010291,165,145,0,5,0,5,15,30,1190,NA,0.8787878787878788,0.030303030303030304,0,0.030303030303030304,0.09090909090909091,0,27.628971664676797
35010292,175,170,0,0,0,0,5,0,1350,NA,0.9714285714285714,0,0,0,0.02857142857142857,0,14.295509924206247
35010293,260,245,0,0,0,0,5,35,1360,1540,0.9423076923076923,0,0,0,0.019230769230769232,0,10.767164586384714
35010294,300,245,0,30,10,10,5,35,1310,1080,0.8166666666666667,0.1,0.03333333333333333,0.03333333333333333,0.016666666666666666,0,62.5854851411282
35010295,185,155,0,0,0,10,20,15,880,NA,0.8378378378378378,0,0,0.05405405405405406,0.10810810810810811,0,1207.201889020071
35010296,175,100,0,10,0,30,30,0,970,655,0.5714285714285714,0.05714285714285714,0,0.17142857142857143,0.17142857142857143,0,1377.245508982036
35010297,160,155,0,0,0,0,0,25,1410,940,0.96875,0,0,0,0,0,10.900591673975978
35010298,195,185,0,0,0,0,5,20,1050,NA,0.9487179487179487,0,0,0,0.02564102564102564,0,16.664132938851402
35010299,195,195,0,0,0,0,5,20,930,NA,1,0,0,0,0.02564102564102564,0,12.630061101486561
35010300,215,215,0,0,0,0,0,15,880,NA,1,0,0,0,0,0,7.54056092043492
35010301,195,180,0,5,0,0,5,30,900,NA,0.9230769230769231,0.02564102564102564,0,0,0.02564102564102564,0,24.096385542168676
35010302,280,180,0,5,0,0,85,35,770,735,0.6428571428571429,0.017857142857142856,0,0,0.30357142857142855,0,28.77164734834277
35010303,185,185,0,0,0,0,0,15,1200,NA,1,0,0,0,0,0,9.784136174888793
35010304,150,85,0,25,40,0,5,20,715,870,0.5666666666666667,0.16666666666666666,0.26666666666666666,0,0.03333333333333333,0,35.68451971549485
35010305,190,185,0,10,0,0,0,15,750,NA,0.9736842105263158,0.05263157894736842,0,0,0,0,249.19659468906804
35010306,215,190,0,15,0,0,0,25,750,NA,0.8837209302325582,0.06976744186046512,0,0,0,0,76.48512528545062
